ISO3,Country,Population_M,Pop_15_24_M,Pop_15_29_Est_M,Youth_Pct_15_24,Youth_Unemployment_Pct,Youth_Account_Pct,Youth_Unbanked_Pct,Mobile_Per_100,Internet_Users_Pct,GDP_Per_Capita_USD,GenZ_GX_Total_B,GenZ_USD_Total_B,Grant_Impact_Multiple,Need_Score,Readiness_Score,GenZ_Impact_Index,Tier
PAK,Pakistan,251.3,49.94,74.91,19.9,9.5,24.3,75.7,76.5,36.5,1479,15.730,1887.62,17.0,34.6,19.4,54.1,Tier 3: Moderate Opportunity
PLW,Palau,0.0,0.00,0.00,12.3,,,,135.4,82.9,15611,0.001,0.08,1.6,20.6,22.6,43.2,Tier 3: Moderate Opportunity
PSE,Palestine,5.3,1.01,1.52,19.2,,23.4,76.6,76.7,86.6,2592,0.319,38.29,9.7,42.2,23.2,65.4,Tier 2: Strong Opportunity
PAN,Panama,4.5,0.72,1.09,16.0,,57.5,42.5,156.6,68.5,19161,0.228,27.35,1.3,25.6,26.2,51.7,Tier 3: Moderate Opportunity
PNG,Papua New Guinea,10.6,2.02,3.03,19.1,,,,34.1,18.6,3007,0.636,76.28,8.4,38.9,10.5,49.4,Tier 3: Moderate Opportunity
PRY,Paraguay,6.9,1.17,1.75,16.8,,47.3,52.7,126.6,78.1,6416,0.367,44.07,3.9,32.5,25.8,58.3,Tier 2: Strong Opportunity
PER,Peru,34.2,5.69,8.53,16.6,,53.0,47.0,122.0,79.5,8452,1.792,214.99,3.0,30.2,27.2,57.4,Tier 2: Strong Opportunity
PHL,Philippines,115.8,22.04,33.06,19.0,,55.1,44.9,117.3,77.9,3985,6.943,833.16,6.3,33.3,27.9,61.2,Tier 2: Strong Opportunity
POL,Poland,36.6,3.62,5.44,9.9,,73.6,26.4,135.2,86.4,25104,1.142,136.99,1.0,13.7,28.8,42.5,Tier 3: Moderate Opportunity
PRT,Portugal,10.7,1.11,1.66,10.4,,93.0,7.0,123.0,85.8,29292,0.349,41.86,0.9,7.7,26.6,34.4,Tier 4: Emerging Opportunity
PRI,Puerto Rico (US),3.2,0.39,0.59,12.3,,,,124.5,87.3,39344,0.124,14.84,0.6,9.2,26.0,35.2,Tier 4: Emerging Opportunity
QAT,Qatar,2.9,0.26,0.39,9.2,,,,157.8,98.2,76689,0.083,9.92,0.3,,29.7,,
ROU,Romania,19.1,2.10,3.15,11.0,,85.6,14.4,123.2,89.2,20080,0.661,79.34,1.3,12.8,27.8,40.6,Tier 3: Moderate Opportunity
RUS,Russian Federation,143.5,15.06,22.59,10.5,,88.5,11.5,180.8,92.2,14889,4.744,569.33,1.7,12.9,34.5,47.4,Tier 3: Moderate Opportunity
